DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO
07/10/2021,N. Sra. do Rosário,MUNICIPAL,"Dia de Nossa Senhora do Rosário, padroeira do Município",AL,2703304.0
09/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704005.0
20/07/2021,Feriado Municipal,MUNICIPAL,,AL,2704104.0
14/08/2021,Feriado Municipal,MUNICIPAL,,AL,2704104.0
28/08/2021,Feriado Municipal,MUNICIPAL,,AL,2704104.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2704104.0
20/01/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704203.0
31/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704203.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704203.0
27/08/2021,Nossa Senhora dos Prazeres,MUNICIPAL,"Dia da Padroeira de Maceió, feriado municipal conforme a Lei Municipal nº 1.391 de 26/08/1964.",AL,2704302.0
08/12/2021,Nossa Senhora da Conceição,MUNICIPAL,"Feriado municipal religioso em honra a Nossa Senhora da Conceição, conforme a Lei Municipal nº 1.391 de 26/08/1964.",AL,2704302.0
01/06/2021,Feriado Municipal,MUNICIPAL,,AL,2704401.0
13/06/2021,Santo Antônio,MUNICIPAL,,AL,2704401.0
24/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704500.0
13/06/2021,Santo Antônio,MUNICIPAL,Dia de Santo Antônio,AL,2704500.0
02/01/2021,Feriado Municipal,MUNICIPAL,,AL,2704609.0
07/12/2021,Feriado Municipal,MUNICIPAL,,AL,2704609.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2704609.0
19/03/2021,São José,MUNICIPAL,"Dia de São José, padroeiro da Cidade",AL,2704708.0
02/04/2021,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,AL,2704708.0
05/08/2021,Marechal Deodoro,MUNICIPAL,Dia do Nascimento de Marechal Deodoro,AL,2704708.0
08/12/2021,Imaculada Conceição,MUNICIPAL,Dia da Imaculada Conceição,AL,2704708.0
15/01/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704807.0
24/08/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704807.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2704807.0
18/03/2021,Feriado Municipal,MUNICIPAL,,AL,2705002.0
24/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2705101.0
24/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2705101.0
13/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2705101.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2705507.0
19/03/2021,São José,MUNICIPAL,Dia de São José,AL,2705606.0
01/12/2021,Feriado Municipal,MUNICIPAL,,AL,2705606.0
13/06/2021,Santo Antônio,MUNICIPAL,Dia de Santo Antônio,AL,2705705.0
02/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2705705.0
02/02/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2706000.0
16/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2706000.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2706000.0
20/08/2021,Feriado Municipal,MUNICIPAL,,AL,2706307.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2706307.0
03/03/2021,Feriado Municipal,MUNICIPAL,,AL,2706406.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2706406.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2706604.0
02/12/2021,Feriado Municipal,MUNICIPAL,,AL,2706604.0
12/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2706703.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2706703.0
31/05/2021,Feriado Municipal,MUNICIPAL,,AL,2706802.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2706802.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2706901.0
16/03/2021,Feriado Municipal,MUNICIPAL,,AL,2706901.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2706901.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2707107.0
22/03/2021,Feriado Municipal,MUNICIPAL,,AL,2707107.0
03/06/2021,Feriado Municipal,MUNICIPAL,,AL,2707107.0
06/01/2021,Feriado Municipal,MUNICIPAL,,AL,2707206.0
20/01/2021,Feriado Municipal,MUNICIPAL,,AL,2707206.0
20/07/2021,Feriado Municipal,MUNICIPAL,,AL,2707206.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2707206.0
20/01/2021,Feriado Municipal,MUNICIPAL,,AL,2707305.0
12/04/2021,Feriado Municipal,MUNICIPAL,,AL,2707305.0
22/07/2021,Feriado Municipal,MUNICIPAL,,AL,2707305.0
21/11/2021,Feriado Municipal,MUNICIPAL,,AL,2707305.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2707305.0
16/03/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2707602.0
27/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2707602.0
13/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2707701.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2707701.0
24/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2708006.0
26/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2708006.0
08/12/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2708006.0
06/01/2021,Feriado Municipal,MUNICIPAL,,AL,2708303.0
19/03/2021,São José,MUNICIPAL,Dia de São José,AL,2708303.0
28/07/2021,Feriado Municipal,MUNICIPAL,,AL,2708303.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2708303.0
19/03/2021,São José,MUNICIPAL,Dia de São José,AL,2708402.0
15/09/2021,Feriado Municipal,MUNICIPAL,,AL,2708402.0
24/12/2021,Feriado Municipal,MUNICIPAL,,AL,2708402.0
02/02/2021,Feriado Municipal,MUNICIPAL,,AL,2708501.0
16/05/2021,Feriado Municipal,MUNICIPAL,,AL,2708501.0
29/09/2021,Feriado Municipal,MUNICIPAL,,AL,2708600.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2708600.0
18/12/2021,Feriado Municipal,MUNICIPAL,,AL,2708600.0
20/01/2021,Feriado Municipal,MUNICIPAL,,AL,2708808.0
31/05/2021,Feriado Municipal,MUNICIPAL,,AL,2708808.0
08/09/2021,Feriado Municipal,MUNICIPAL,,AL,2708808.0
08/12/2021,Feriado Municipal,MUNICIPAL,,AL,2708808.0
